ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93428,1,2024,Elec- Agricultural,Y,0,0,
93428,2,2024,Elec- Agricultural,Y,0,0,
93428,3,2024,Elec- Agricultural,Y,0,0,
93430,1,2024,Elec- Agricultural,Y,0,0,
93430,2,2024,Elec- Agricultural,Y,123,"39,603",322
93430,3,2024,Elec- Agricultural,Y,89,"36,140",406
93432,1,2024,Elec- Agricultural,Y,0,0,
93432,2,2024,Elec- Agricultural,Y,0,0,
93432,3,2024,Elec- Agricultural,Y,0,0,
93433,1,2024,Elec- Agricultural,Y,0,0,
93433,2,2024,Elec- Agricultural,Y,0,0,
93433,3,2024,Elec- Agricultural,Y,0,0,
93434,1,2024,Elec- Agricultural,Y,0,0,
93434,2,2024,Elec- Agricultural,Y,0,0,
93434,3,2024,Elec- Agricultural,Y,0,0,
93435,1,2024,Elec- Agricultural,Y,0,0,
93435,2,2024,Elec- Agricultural,Y,0,0,
93435,3,2024,Elec- Agricultural,Y,0,0,
93436,1,2024,Elec- Agricultural,Y,233,"361,669","1,552"
93436,2,2024,Elec- Agricultural,Y,0,0,
93436,3,2024,Elec- Agricultural,Y,0,0,
93437,1,2024,Elec- Agricultural,Y,0,0,
93437,2,2024,Elec- Agricultural,Y,0,0,
93437,3,2024,Elec- Agricultural,Y,0,0,
93441,1,2024,Elec- Agricultural,Y,0,0,
93441,2,2024,Elec- Agricultural,Y,0,0,
93441,3,2024,Elec- Agricultural,Y,0,0,
93442,1,2024,Elec- Agricultural,Y,145,"54,897",379
93442,2,2024,Elec- Agricultural,Y,0,0,
93442,3,2024,Elec- Agricultural,Y,0,0,
93444,1,2024,Elec- Agricultural,Y,0,0,
93444,2,2024,Elec- Agricultural,Y,0,0,
93444,3,2024,Elec- Agricultural,Y,0,0,
93445,1,2024,Elec- Agricultural,Y,0,0,
93445,2,2024,Elec- Agricultural,Y,0,0,
93445,3,2024,Elec- Agricultural,Y,0,0,
93446,1,2024,Elec- Agricultural,Y,"1,431","9,409,482","6,575"
93446,2,2024,Elec- Agricultural,Y,0,0,
93446,3,2024,Elec- Agricultural,Y,0,0,
93449,1,2024,Elec- Agricultural,Y,0,0,
93449,2,2024,Elec- Agricultural,Y,0,0,
93449,3,2024,Elec- Agricultural,Y,0,0,
93450,1,2024,Elec- Agricultural,Y,0,0,
93450,2,2024,Elec- Agricultural,Y,0,0,
93450,3,2024,Elec- Agricultural,Y,0,0,
93451,1,2024,Elec- Agricultural,Y,0,0,
93451,2,2024,Elec- Agricultural,Y,0,0,
93451,3,2024,Elec- Agricultural,Y,0,0,
93452,1,2024,Elec- Agricultural,Y,0,0,
93452,2,2024,Elec- Agricultural,Y,0,0,
93452,3,2024,Elec- Agricultural,Y,0,0,
93453,1,2024,Elec- Agricultural,Y,0,0,
93453,2,2024,Elec- Agricultural,Y,0,0,
93453,3,2024,Elec- Agricultural,Y,0,0,
93454,1,2024,Elec- Agricultural,Y,0,0,
93454,2,2024,Elec- Agricultural,Y,0,0,
93454,3,2024,Elec- Agricultural,Y,0,0,
93455,1,2024,Elec- Agricultural,Y,0,0,
93455,2,2024,Elec- Agricultural,Y,0,0,
93455,3,2024,Elec- Agricultural,Y,0,0,
93458,1,2024,Elec- Agricultural,Y,0,0,
93458,2,2024,Elec- Agricultural,Y,0,0,
93458,3,2024,Elec- Agricultural,Y,0,0,
93460,1,2024,Elec- Agricultural,Y,0,0,
93460,2,2024,Elec- Agricultural,Y,0,0,
93460,3,2024,Elec- Agricultural,Y,483,"980,275","2,030"
93461,1,2024,Elec- Agricultural,Y,0,0,
93461,2,2024,Elec- Agricultural,Y,0,0,
93461,3,2024,Elec- Agricultural,Y,0,0,
93463,1,2024,Elec- Agricultural,Y,0,0,
93463,2,2024,Elec- Agricultural,Y,0,0,
93463,3,2024,Elec- Agricultural,Y,0,0,
93465,1,2024,Elec- Agricultural,N,127,"69,214",545
93465,2,2024,Elec- Agricultural,Y,0,0,
93465,3,2024,Elec- Agricultural,Y,0,0,
93601,1,2024,Elec- Agricultural,Y,0,0,
93601,2,2024,Elec- Agricultural,Y,0,0,
93601,3,2024,Elec- Agricultural,Y,0,0,
93602,1,2024,Elec- Agricultural,Y,0,0,
93602,2,2024,Elec- Agricultural,Y,0,0,
93602,3,2024,Elec- Agricultural,Y,0,0,
93603,1,2024,Elec- Agricultural,Y,0,0,
93603,2,2024,Elec- Agricultural,Y,0,0,
93603,3,2024,Elec- Agricultural,Y,0,0,
93608,1,2024,Elec- Agricultural,Y,0,0,
93608,2,2024,Elec- Agricultural,Y,0,0,
93608,3,2024,Elec- Agricultural,Y,204,"3,109,497","15,243"
93609,1,2024,Elec- Agricultural,Y,0,0,
